date,address,netuid,previous_balance,current_balance,delta_alpha,harvestable_alpha,previous_block,current_block
2026-02-01,5EWvVeoscCk6atHj5ZncAqx7u7QtfvHvCifgKyysPsYbMfmh,1,0,0.0,0,0.0,7449530,7449530
2026-02-01,5EWvVeoscCk6atHj5ZncAqx7u7QtfvHvCifgKyysPsYbMfmh,29,0,5.0695,5.0695,2.53475,7449530,7449530
2026-02-01,5EWvVeoscCk6atHj5ZncAqx7u7QtfvHvCifgKyysPsYbMfmh,34,0,5.5387,5.5387,2.76935,7449531,7449531
2026-02-01,5EWvVeoscCk6atHj5ZncAqx7u7QtfvHvCifgKyysPsYbMfmh,44,0,7.5978,7.5978,3.7989,7449531,7449531
2026-02-01,5EWvVeoscCk6atHj5ZncAqx7u7QtfvHvCifgKyysPsYbMfmh,54,0,6.0385,6.0385,3.01925,7449531,7449531
2026-02-01,5EWvVeoscCk6atHj5ZncAqx7u7QtfvHvCifgKyysPsYbMfmh,60,0,20.3797,20.3797,10.18985,7449532,7449532
2026-02-01,5EWvVeoscCk6atHj5ZncAqx7u7QtfvHvCifgKyysPsYbMfmh,64,0,5.9328,5.9328,2.9664,7449532,7449532
2026-02-01,5EWvVeoscCk6atHj5ZncAqx7u7QtfvHvCifgKyysPsYbMfmh,75,0,5.8844,5.8844,2.9422,7449533,7449533
2026-02-01,5EWvVeoscCk6atHj5ZncAqx7u7QtfvHvCifgKyysPsYbMfmh,118,0,7.7822,7.7822,3.8911,7449533,7449533
2026-02-01,5EWvVeoscCk6atHj5ZncAqx7u7QtfvHvCifgKyysPsYbMfmh,120,0,8.1171,8.1171,4.05855,7449533,7449533
2026-02-01,5EWvVeoscCk6atHj5ZncAqx7u7QtfvHvCifgKyysPsYbMfmh,124,0.0,0.0,0,0.0,,
